appid,game_name,slice,recommendationid,steamid,num_games_owned,num_reviews,playtime_forever,playtime_last_two_weeks,playtime_at_review,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
2868840,Slay the Spire 2,bomb_window,225611125,76561198030495862,0,20,5860,88,3456,english,"It's Slay the Spire, but More. If you even remotely liked the first game, you'll like this one. Well worth the money",1778885171,1778885171,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225611095,76561198093551442,0,39,651,0,651,english,You like roguelite deckbuilders? Then you probably played the first game. You liked the first game? It is more of the same except even better.,1778885148,1778885148,True,1,1,0.523809552192687988,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225610758,76561198057831052,0,20,1492,0,975,english,"The review bombing is wildly exaggerated. The game does not contain overt political activism, messaging, or themes. If they add them, I will be the first to change this in a negative review.",1778884848,1778884848,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225610547,76561198106212492,0,4,6533,446,3056,english,"maintains the kind-of-infuriating elegance from the first game (in that it is so unbelievably elegant it's kind of infuriating), but with even more feel-good moments now that act-end rewards are way more varied and the energy economy is less insane. the balance tweaks have been pretty pitch-perfect so far (rip the doormaker though, you were a real one). the new characters are great and the old ones feel new. could use some more teeth but we have lots of patches coming.  the weakness of mind and spirit revealed in the gaming public by this game's review bombing could be blackpilling, but I choose instead to take it as an ego boost. if you're better than that, then that puts you ahead of an awful lot of people.",1778884658,1778884726,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225610465,76561197991844748,1435,12,581,0,581,english,"I would never have bought this if had known you'd take Anita's consultation. She is on record for hating gamers, admitted to knowing nothing about games, and has made it her mission to ruin them. I'd get a refund if I could. Shame on you.",1778884598,1778884598,False,11,1,0.519685029983520508,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225610407,76561197998867036,0,29,11338,2119,4417,english,Absolutely incredible in both single-player and co-op.,1778884541,1778884541,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225610238,76561198996432925,0,5,5547,0,5437,english,is aight,1778884398,1778884398,True,0,0,0.5,0,False,False,True
2868840,Slay the Spire 2,bomb_window,225610029,76561198259992488,1118,14,230,0,230,english,"I regret supporting this game/studio. I'm past the refund window so I'm stuck with the game, but i won't be playing it anymore. Sad to see Mega Crit go this route as a developer. They got my money for the last time.  Quit hiring activists to consult on beloved/established games. They are talentless parasites that only harm both the reputations of the developers that hire them and the sales of the games they consult on.   Their messaging isn't strong enough to organically attract an audience so they need to ""consult"" on popular or beloved IPs with established audiences and the result is that the end product is worse for it.  There's a reason ""DEI detected"" is one of the most followed curators on steam. People don't like messaging being injected into entertainment whether it be games, movies, tv, etc.  If Mega Crit was up front about collaborating with you know who, sales for the sequel would not have been as good as they have been.  Save your money for developers that are smart enough to see they don't need to hire activists to make their game ""better.""",1778884220,1778884220,False,9,2,0.496240615844726562,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225609960,76561199588957834,0,3,3099,1,373,english,Great game,1778884155,1778884155,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225609936,76561198183449807,0,3,1331,0,1263,english,.,1778884122,1778884122,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225609880,76561198403015185,0,22,7873,911,2924,english,I wish I could write a positive review but the card that lets me write one is buried at the end of my deck.,1778884069,1778884069,False,5,1,0.565217375755310059,0,False,True,True
2868840,Slay the Spire 2,bomb_window,225609849,76561198038124859,0,6,21298,2215,13025,english,"I thought there were no circumstances that would lead to me uninstalling the original Slay the Spire.  This game got me to. It's that good.",1778884048,1778884048,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225609552,76561198407460989,0,5,3502,0,3064,english,"W music, W gameplay",1778883783,1778883783,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225609222,76561198410221684,0,10,4032,67,1562,english,Absolute and utter peak,1778883495,1778883495,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225609142,76561198346569680,0,2,5076,0,3383,english,i get to be a robot and kill things,1778883431,1778883431,True,0,0,0.5,0,False,False,True
2868840,Slay the Spire 2,bomb_window,225609017,76561197977781479,199,23,4462,113,2848,english,"It is a near perfect extension of the first game's direction and design. The new characters offer fun & engaging mechanical novelty to muck around with which brings up a similar feeling of discovery as the first game did early on.  As far as being early access, it is already excellent and I'm looking forward to revisiting it as it develops further.  Highly recommend if you enjoyed the first one, and if you haven't played the first one I don't see why you couldn't start with this one. I love these kinds of games that I can play while just listening to music or podcasts or whatever.",1778883331,1778883331,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225608810,76561198050234505,0,29,17927,2419,3857,english,As someone who's not typically a fan of deckbuilding roguelites: it totally blew me away,1778883151,1778883151,True,0,0,0.5,0,False,False,True
2868840,Slay the Spire 2,bomb_window,225608747,76561198966621171,58,1,6416,172,2716,english,absolute cinema,1778883099,1778883099,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225608745,76561198202037484,0,10,12916,0,10012,english,"Whoever made Doormaker should be fired. I don't understand how his/her idea even got the green light. Same goes for the person who made Queen. Act 3 bosses need to be reworked entirely. Talking about reworking, multiplayer and some of the normal enemies need to be considered for elites instead.",1778883096,1778883476,False,3,1,0.523809552192687988,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225608485,76561199090009197,0,1,18078,559,11969,english,Very good sad to see review bombers. Hopefully they continue to improve this great game. Wish gaming continuties were a not total loser incels.,1778882882,1778882882,True,1,0,0.462427735328674316,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225608453,76561198733686035,0,2,4299,143,2806,english,"it good game  pls like",1778882854,1778882854,True,0,0,0.5,1,False,False,True
2868840,Slay the Spire 2,bomb_window,225608295,76561197961647160,0,34,8455,56,4681,english,This game is excellent.,1778882721,1778882721,True,0,0,0.476190477609634399,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225608194,76561197973210614,0,20,5759,650,1446,english,"People have left some comprehensive reviews of mechanics already, so I'm gonna talk about a small detail that I adore.  In certain situations, you can play a card or get a relic that actually shows up around your character. Like there's a bird and a sword card that actually show up on your side as a little friend. There's a relic that's a little lump of flesh guy that helps you block, and his sprite changes into a wall-like structure when you use him.  Little details like that make Slay the Spire 2 feel polished and thematically unique.",1778882642,1778882642,True,0,0,0.5,0,False,False,True
2868840,Slay the Spire 2,bomb_window,225608015,76561198090868045,0,6,20496,3163,15914,english,Great game but they hired anita sarkeesian as a dei consultant and I don't want to encourage the hiring of people who push their identity politics into video games.,1778882502,1778882502,False,28,2,0.526566505432128906,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225607816,76561197999942141,564,5,44660,493,20985,english,Me speke good Engrish!! You HK too? ^^,1778882337,1778882337,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225607403,76561198260710959,0,6,7045,286,2233,english,"One of the most addicting games I’ve played. I’m nowhere near good at it yet, but playing with friends is genuinely a blast regardless of which character I pick. Almost every single run is chaotic as ♥♥♥♥, and there are a lot of funny moments. Overall, a very noble and interesting concept, I would say. From what I have understood, it is basically 80% the same as STS1 and 20% new things. The developers really managed to preserve that same addictive feeling while still giving it its personality. 10/10.",1778882024,1778882024,True,0,0,0.5,0,True,False,True
